week,lane,region,mode,carrier,units,spend_usd,on_time_pct,damage_rate_pct,invoice_accuracy_pct,days_to_settle,fuel_share,week_start
1,LAX→ORD,North America,Truckload,BlueLine Express,13361,43547.7,90.92,0.189,98.47,41,0.32,2025-03-03
1,SEA→ORD,North America,Truckload,Northwind Freight,40626,121312.27,98.07,0.284,97.35,46,0.32,2025-03-03
1,SEA→LAX,North America,LTL,Atlas Logistics,14441,61632.37,93.19,0.199,97.51,47,0.28,2025-03-03
1,EWR→MEM,North America,Truckload,Meridian Carriers,27970,95881.86,94.5,0.584,97.91,39,0.32,2025-03-03
1,DFW→EWR,North America,LTL,Northwind Freight,14018,59952.92,90.05,0.584,98.83,45,0.28,2025-03-03
1,DFW→LAX,North America,LTL,Atlas Logistics,34873,161599.44,93.84,0.247,97.35,41,0.28,2025-03-03
1,ORD→PHX,North America,Air,Skyway Cargo,12163,103399.5,93.1,0.538,96.13,40,0.42,2025-03-03
1,PHX→ATL,North America,LTL,Atlas Logistics,19461,92253.11,93.54,0.723,96.08,46,0.28,2025-03-03
1,MAD→MXP,Europe,Truckload,Meridian Carriers,19399,56619.77,92.87,0.693,97.62,45,0.32,2025-03-03
1,MXP→FRA,Europe,LTL,BlueLine Express,35963,156005.8,93.9,0.514,98.25,44,0.28,2025-03-03
1,FRA→MXP,Europe,Air,Skyway Cargo,18195,156199.15,95.61,0.539,97.01,44,0.42,2025-03-03
1,AMS→MAD,Europe,Truckload,Northwind Freight,8539,27994.21,90.95,0.243,96.81,43,0.32,2025-03-03
1,WAW→LHR,Europe,Truckload,Atlas Logistics,20423,65124.24,95.3,0.213,98.89,46,0.32,2025-03-03
1,WAW→FRA,Europe,Intermodal,Pacific Rail Co,11655,25908.16,98.08,0.618,96.34,39,0.18,2025-03-03
1,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,42128,143771.79,97.5,0.42,96.36,45,0.32,2025-03-03
1,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,12904,33295.57,89.82,0.437,96.64,39,0.18,2025-03-03
1,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,39932,86915.36,96.13,0.218,99.47,47,0.18,2025-03-03
1,SIN→SYD,Asia Pacific,LTL,Northwind Freight,22583,114985.64,93.87,0.311,97.3,41,0.28,2025-03-03
1,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,26766,61889.06,94.29,0.378,96.5,38,0.18,2025-03-03
1,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,37190,108313.63,99.43,0.341,97.09,42,0.32,2025-03-03
1,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,15122,73679.68,95.99,0.582,97.46,45,0.28,2025-03-03
1,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,8269,27058.42,89.52,0.563,97.6,40,0.32,2025-03-03
2,LAX→ORD,North America,Truckload,BlueLine Express,15149,49768.5,91.72,0.306,98.16,40,0.32,2025-03-10
2,SEA→ORD,North America,Truckload,Northwind Freight,38553,112167.11,98,0.212,97.13,45,0.32,2025-03-10
2,SEA→LAX,North America,LTL,Atlas Logistics,15720,71444.17,93.91,0.31,98.25,42,0.28,2025-03-10
2,EWR→MEM,North America,Truckload,Meridian Carriers,31854,109035.85,95.43,0.531,96.75,40,0.32,2025-03-10
2,DFW→EWR,North America,LTL,Northwind Freight,13705,58320.52,91.68,0.505,97.54,44,0.28,2025-03-10
2,DFW→LAX,North America,LTL,Atlas Logistics,30371,142253.05,90.79,0.232,98.96,41,0.28,2025-03-10
2,ORD→PHX,North America,Air,Skyway Cargo,13098,112139.93,91.84,0.562,97.21,39,0.42,2025-03-10
2,PHX→ATL,North America,LTL,Atlas Logistics,17633,84668.33,92.6,0.722,98.4,46,0.28,2025-03-10
2,MAD→MXP,Europe,Truckload,Meridian Carriers,16228,48618.14,92.11,0.635,98.36,42,0.32,2025-03-10
2,MXP→FRA,Europe,LTL,BlueLine Express,38822,163833.78,95.24,0.439,99.14,39,0.28,2025-03-10
2,FRA→MXP,Europe,Air,Skyway Cargo,18220,160182.5,98.49,0.491,98.43,41,0.42,2025-03-10
2,AMS→MAD,Europe,Truckload,Northwind Freight,8694,26942.64,88.78,0.282,96.74,46,0.32,2025-03-10
2,WAW→LHR,Europe,Truckload,Atlas Logistics,19258,64830.84,94.23,0.196,97.03,41,0.32,2025-03-10
2,WAW→FRA,Europe,Intermodal,Pacific Rail Co,11712,24847.84,99.33,0.575,96.55,39,0.18,2025-03-10
2,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,44431,149317.92,95.92,0.369,96.07,41,0.32,2025-03-10
2,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,12750,32974.44,92.28,0.42,97.32,44,0.18,2025-03-10
2,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,41528,92117.91,96.82,0.244,96.93,42,0.18,2025-03-10
2,SIN→SYD,Asia Pacific,LTL,Northwind Freight,22542,114359.29,95.75,0.42,96.25,38,0.28,2025-03-10
2,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,31768,78114.79,95.54,0.446,98.79,39,0.18,2025-03-10
2,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,38771,112705.23,99.02,0.279,98.6,45,0.32,2025-03-10
2,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,17153,85056.05,96.02,0.644,99.24,45,0.28,2025-03-10
2,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,9250,30647.45,92.83,0.66,98.62,40,0.32,2025-03-10
3,LAX→ORD,North America,Truckload,BlueLine Express,15310,49010.24,88.5,0.272,99.3,45,0.32,2025-03-17
3,SEA→ORD,North America,Truckload,Northwind Freight,36347,106504.01,95.19,0.196,97.47,44,0.32,2025-03-17
3,SEA→LAX,North America,LTL,Atlas Logistics,16001,70568.89,94.84,0.219,98.45,46,0.28,2025-03-17
3,EWR→MEM,North America,Truckload,Meridian Carriers,32637,111116.51,93.83,0.617,98.38,45,0.32,2025-03-17
3,DFW→EWR,North America,LTL,Northwind Freight,13346,60041.26,90.4,0.501,97.46,39,0.28,2025-03-17
3,DFW→LAX,North America,LTL,Atlas Logistics,31544,147205.04,91.28,0.345,97.56,44,0.28,2025-03-17
3,ORD→PHX,North America,Air,Skyway Cargo,13566,122632.16,92.47,0.512,96.35,41,0.42,2025-03-17
3,PHX→ATL,North America,LTL,Atlas Logistics,17863,81898.95,91.24,0.68,96.93,45,0.28,2025-03-17
3,MAD→MXP,Europe,Truckload,Meridian Carriers,19354,56534.47,92.19,0.707,96.52,47,0.32,2025-03-17
3,MXP→FRA,Europe,LTL,BlueLine Express,35050,152672.2,94.97,0.459,99.33,42,0.28,2025-03-17
3,FRA→MXP,Europe,Air,Skyway Cargo,16411,151647.7,97.05,0.538,96.2,46,0.42,2025-03-17
3,AMS→MAD,Europe,Truckload,Northwind Freight,9257,29558.27,88.84,0.201,96.56,44,0.32,2025-03-17
3,WAW→LHR,Europe,Truckload,Atlas Logistics,20335,65776.96,94.18,0.204,96.92,45,0.32,2025-03-17
3,WAW→FRA,Europe,Intermodal,Pacific Rail Co,11396,24843.35,97.48,0.668,96.63,39,0.18,2025-03-17
3,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,44615,150239.6,97.13,0.35,97.96,43,0.32,2025-03-17
3,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,13383,32888.48,89.35,0.492,97.46,45,0.18,2025-03-17
3,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,39658,85356.41,95.23,0.271,98.21,45,0.18,2025-03-17
3,SIN→SYD,Asia Pacific,LTL,Northwind Freight,23045,114934.75,95.57,0.42,96.97,42,0.28,2025-03-17
3,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,30049,72889.55,94.53,0.465,98.13,42,0.18,2025-03-17
3,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,39720,110415.9,99.36,0.25,97.65,43,0.32,2025-03-17
3,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,15867,78526.75,95.44,0.552,98.54,42,0.28,2025-03-17
3,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,8963,28375,90.33,0.637,99.29,41,0.32,2025-03-17
4,LAX→ORD,North America,Truckload,BlueLine Express,14967,49611.8,91.6,0.263,97.65,46,0.32,2025-03-24
4,SEA→ORD,North America,Truckload,Northwind Freight,37600,110497.53,97.91,0.192,99.19,41,0.32,2025-03-24
4,SEA→LAX,North America,LTL,Atlas Logistics,14680,65377.52,96.49,0.312,98.77,42,0.28,2025-03-24
4,EWR→MEM,North America,Truckload,Meridian Carriers,30567,101514.57,94.38,0.489,98.87,39,0.32,2025-03-24
4,DFW→EWR,North America,LTL,Northwind Freight,12456,54476.56,88.84,0.525,96.94,45,0.28,2025-03-24
4,DFW→LAX,North America,LTL,Atlas Logistics,31310,142645.64,92.3,0.352,96.22,38,0.28,2025-03-24
4,ORD→PHX,North America,Air,Skyway Cargo,13022,120163.79,93.89,0.595,97.14,38,0.42,2025-03-24
4,PHX→ATL,North America,LTL,Atlas Logistics,19554,93428.59,94.02,0.656,98.82,39,0.28,2025-03-24
4,MAD→MXP,Europe,Truckload,Meridian Carriers,17743,51867.93,92.61,0.617,98.99,42,0.32,2025-03-24
4,MXP→FRA,Europe,LTL,BlueLine Express,38026,168865.46,96.99,0.425,97.41,43,0.28,2025-03-24
4,FRA→MXP,Europe,Air,Skyway Cargo,16114,142811.01,96.56,0.533,99.05,38,0.42,2025-03-24
4,AMS→MAD,Europe,Truckload,Northwind Freight,8269,26812.29,91.17,0.273,96.2,38,0.32,2025-03-24
4,WAW→LHR,Europe,Truckload,Atlas Logistics,19507,66873.85,94.1,0.189,96.09,39,0.32,2025-03-24
4,WAW→FRA,Europe,Intermodal,Pacific Rail Co,11985,26339.06,97.69,0.613,98.73,42,0.18,2025-03-24
4,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,44537,157551.79,97.2,0.356,96.46,45,0.32,2025-03-24
4,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,15058,37435.69,90.9,0.457,99.1,46,0.18,2025-03-24
4,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,39173,83144.82,95.32,0.181,96.09,44,0.18,2025-03-24
4,SIN→SYD,Asia Pacific,LTL,Northwind Freight,22922,112421.18,95.33,0.414,97.51,42,0.28,2025-03-24
