quarter,facility,service_line,gross_charges_musd,net_revenue_musd,contribution_musd,operating_expense_musd,bad_debt_musd,medicare_share,medicaid_share,commercial_share,selfpay_share,other_share,days_in_ar,readmission_pct,hcahps_topbox_pct,infection_index,mortality_pct,avg_los_days
Q4 FY25,Wilson Medical Center,Cardiology,64.741,22.684,7.176,19.138,1.143,0.443,0.1806,0.2855,0.046,0.0449,55,17.74,69,0.733,2.81,5
Q4 FY25,Wilson Medical Center,Orthopedics,60.222,21.288,5.599,19.095,1.74,0.4293,0.1839,0.3043,0.0471,0.0353,49,17.59,76.3,0.982,2.83,4.87
Q4 FY25,Wilson Medical Center,Oncology,57.392,20.013,3.943,19.271,1.517,0.4049,0.2179,0.2895,0.045,0.0426,52,18.4,76.8,1.239,3.34,5.57
Q4 FY25,Wilson Medical Center,Emergency,48.135,16.916,0.985,18.638,1.376,0.4352,0.1758,0.2911,0.0492,0.0487,53,16.11,73.9,1.047,2.35,4.25
Q4 FY25,Wilson Medical Center,Maternity,27.645,9.589,0.846,10.277,0.729,0.4404,0.2033,0.2734,0.0418,0.041,44,9.2,73,1.102,2.95,4.48
Q4 FY25,Wilson Medical Center,General surgery,40.985,14.676,2.611,14.413,0.788,0.4169,0.1735,0.3238,0.0487,0.0371,53,15.56,70.7,1.113,3.31,5.25
Q4 FY25,Binghamton General,Cardiology,46.199,16.563,5.18,14.034,1.436,0.3931,0.189,0.332,0.0496,0.0363,44,14.59,70.8,0.821,2.57,5.07
Q4 FY25,Binghamton General,Orthopedics,40.686,14.578,4.135,12.776,1.002,0.3571,0.2046,0.3428,0.0573,0.0383,49,15.6,72.2,0.894,2.26,5.37
Q4 FY25,Binghamton General,Oncology,40.801,14.299,3.505,13.082,1.104,0.3964,0.1918,0.3016,0.0602,0.05,55,14.74,68.3,0.839,2.31,6.67
Q4 FY25,Binghamton General,Emergency,32.38,11.641,0.687,12.816,1.009,0.3742,0.2015,0.3397,0.0483,0.0364,47,16.42,71.8,1.199,2.28,5.07
Q4 FY25,Binghamton General,Maternity,20.688,7.398,0.682,7.899,0.434,0.3902,0.1877,0.3302,0.0535,0.0384,49,11.42,75,0.752,2.75,4.48
Q4 FY25,Binghamton General,General surgery,27.842,9.672,1.6,9.62,0.851,0.384,0.2289,0.2906,0.0499,0.0466,49,17.63,70.2,1.151,2.4,5.76
Q4 FY25,Delaware Valley,Cardiology,23.596,8.17,2.844,6.634,0.438,0.4187,0.2044,0.2806,0.0531,0.0431,57,16.3,76.7,1.124,2.99,5.3
