team,org,quarter,domain,domain_key,score,headcount,l4,l5,l6,l7plus,open_findings,critical_open,median_days_to_fix
Checkout,Retail Tech,this quarter,Identity & access,identity,84.3,149,69,51,24,10,8,0,12
Checkout,Retail Tech,this quarter,Patching & vulnerabilities,patch,77.3,149,69,51,24,10,8,0,12
Checkout,Retail Tech,this quarter,Data protection,data,97.1,149,69,51,24,10,8,0,12
Checkout,Retail Tech,this quarter,Awareness training,training,99,149,69,51,24,10,8,0,12
Checkout,Retail Tech,this quarter,Incident response,incident,82.9,149,69,51,24,10,8,0,12
Checkout,Retail Tech,this quarter,Third-party risk,thirdparty,86,149,69,51,24,10,8,0,12
Checkout,Retail Tech,last quarter,Identity & access,identity,85.9,149,69,51,24,10,8,0,12
Checkout,Retail Tech,last quarter,Patching & vulnerabilities,patch,74.1,149,69,51,24,10,8,0,12
Checkout,Retail Tech,last quarter,Data protection,data,91.9,149,69,51,24,10,8,0,12
Checkout,Retail Tech,last quarter,Awareness training,training,96,149,69,51,24,10,8,0,12
Checkout,Retail Tech,last quarter,Incident response,incident,82,149,69,51,24,10,8,0,12
Checkout,Retail Tech,last quarter,Third-party risk,thirdparty,82.6,149,69,51,24,10,8,0,12
Catalog,Retail Tech,this quarter,Identity & access,identity,70.7,183,96,51,26,10,16,2,49
Catalog,Retail Tech,this quarter,Patching & vulnerabilities,patch,53.4,183,96,51,26,10,16,2,49
Catalog,Retail Tech,this quarter,Data protection,data,53.3,183,96,51,26,10,16,2,49
Catalog,Retail Tech,this quarter,Awareness training,training,71.1,183,96,51,26,10,16,2,49
Catalog,Retail Tech,this quarter,Incident response,incident,54.5,183,96,51,26,10,16,2,49
Catalog,Retail Tech,this quarter,Third-party risk,thirdparty,53.1,183,96,51,26,10,16,2,49
Catalog,Retail Tech,last quarter,Identity & access,identity,71.2,183,96,51,26,10,16,2,49
Catalog,Retail Tech,last quarter,Patching & vulnerabilities,patch,53.1,183,96,51,26,10,16,2,49
Catalog,Retail Tech,last quarter,Data protection,data,54.9,183,96,51,26,10,16,2,49
Catalog,Retail Tech,last quarter,Awareness training,training,63.6,183,96,51,26,10,16,2,49
Catalog,Retail Tech,last quarter,Incident response,incident,53.9,183,96,51,26,10,16,2,49
Catalog,Retail Tech,last quarter,Third-party risk,thirdparty,52.1,183,96,51,26,10,16,2,49
Search,Retail Tech,this quarter,Identity & access,identity,86.6,193,93,55,39,10,18,2,26
Search,Retail Tech,this quarter,Patching & vulnerabilities,patch,76.3,193,93,55,39,10,18,2,26
Search,Retail Tech,this quarter,Data protection,data,72.3,193,93,55,39,10,18,2,26
Search,Retail Tech,this quarter,Awareness training,training,72.5,193,93,55,39,10,18,2,26
Search,Retail Tech,this quarter,Incident response,incident,75.4,193,93,55,39,10,18,2,26
Search,Retail Tech,this quarter,Third-party risk,thirdparty,70.3,193,93,55,39,10,18,2,26
Search,Retail Tech,last quarter,Identity & access,identity,84.2,193,93,55,39,10,18,2,26
Search,Retail Tech,last quarter,Patching & vulnerabilities,patch,77.9,193,93,55,39,10,18,2,26
Search,Retail Tech,last quarter,Data protection,data,69.7,193,93,55,39,10,18,2,26
Search,Retail Tech,last quarter,Awareness training,training,73.2,193,93,55,39,10,18,2,26
Search,Retail Tech,last quarter,Incident response,incident,68.9,193,93,55,39,10,18,2,26
Search,Retail Tech,last quarter,Third-party risk,thirdparty,70.8,193,93,55,39,10,18,2,26
Wallet,Retail Tech,this quarter,Identity & access,identity,79.5,154,58,50,23,10,16,0,28
Wallet,Retail Tech,this quarter,Patching & vulnerabilities,patch,67.9,154,58,50,23,10,16,0,28
Wallet,Retail Tech,this quarter,Data protection,data,88.5,154,58,50,23,10,16,0,28
Wallet,Retail Tech,this quarter,Awareness training,training,86.5,154,58,50,23,10,16,0,28
Wallet,Retail Tech,this quarter,Incident response,incident,65.4,154,58,50,23,10,16,0,28
Wallet,Retail Tech,this quarter,Third-party risk,thirdparty,67.7,154,58,50,23,10,16,0,28
Wallet,Retail Tech,last quarter,Identity & access,identity,80.6,154,58,50,23,10,16,0,28
Wallet,Retail Tech,last quarter,Patching & vulnerabilities,patch,67.9,154,58,50,23,10,16,0,28
Wallet,Retail Tech,last quarter,Data protection,data,89.6,154,58,50,23,10,16,0,28
Wallet,Retail Tech,last quarter,Awareness training,training,84.6,154,58,50,23,10,16,0,28
Wallet,Retail Tech,last quarter,Incident response,incident,59,154,58,50,23,10,16,0,28
Wallet,Retail Tech,last quarter,Third-party risk,thirdparty,62.3,154,58,50,23,10,16,0,28
Risk Engine,Retail Tech,this quarter,Identity & access,identity,74.4,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,this quarter,Patching & vulnerabilities,patch,57.1,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,this quarter,Data protection,data,78.1,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,this quarter,Awareness training,training,90.8,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,this quarter,Incident response,incident,81.2,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,this quarter,Third-party risk,thirdparty,56.7,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,last quarter,Identity & access,identity,73.7,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,last quarter,Patching & vulnerabilities,patch,54.7,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,last quarter,Data protection,data,79.8,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,last quarter,Awareness training,training,91.7,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,last quarter,Incident response,incident,82.7,157,72,47,24,11,18,1,29
Risk Engine,Retail Tech,last quarter,Third-party risk,thirdparty,54.6,157,72,47,24,11,18,1,29
Ledger,Payments,this quarter,Identity & access,identity,76.2,198,85,71,34,10,13,2,31
Ledger,Payments,this quarter,Patching & vulnerabilities,patch,70.1,198,85,71,34,10,13,2,31
Ledger,Payments,this quarter,Data protection,data,80.6,198,85,71,34,10,13,2,31
Ledger,Payments,this quarter,Awareness training,training,79.8,198,85,71,34,10,13,2,31
Ledger,Payments,this quarter,Incident response,incident,64.4,198,85,71,34,10,13,2,31
Ledger,Payments,this quarter,Third-party risk,thirdparty,65.8,198,85,71,34,10,13,2,31
Ledger,Payments,last quarter,Identity & access,identity,76.8,198,85,71,34,10,13,2,31
Ledger,Payments,last quarter,Patching & vulnerabilities,patch,67.9,198,85,71,34,10,13,2,31
Ledger,Payments,last quarter,Data protection,data,82.5,198,85,71,34,10,13,2,31
